# camera_optical trajectory from onboard odometry (NOT ground truth)
1778756367.061409 1.038876 -30.784188 0.126594 -0.633167 0.211244 -0.228775 0.708616
1778756367.202956 1.033718 -30.794230 0.180183 -0.634320 0.213673 -0.228241 0.707027
1778756367.348893 1.033675 -30.795110 0.202369 -0.638263 0.215259 -0.227339 0.703279
1778756367.490864 1.040254 -30.787203 0.285654 -0.650436 0.218940 -0.225484 0.691488
1778756367.627996 1.047705 -30.776305 0.329239 -0.653994 0.219141 -0.224623 0.688341
1778756367.761010 1.053444 -30.770641 0.332013 -0.657448 0.221831 -0.224224 0.684308
1778756367.903891 1.051704 -30.772192 0.332723 -0.657644 0.221351 -0.223904 0.684379
1778756368.045849 1.049204 -30.775229 0.333209 -0.656985 0.220885 -0.223859 0.685177
1778756368.183949 1.049687 -30.774690 0.333145 -0.657069 0.220986 -0.223914 0.685046
1778756368.323522 1.049814 -30.774410 0.333119 -0.657151 0.220951 -0.223895 0.684986
1778756368.483412 1.049699 -30.774448 0.333163 -0.657123 0.220859 -0.223833 0.685062
1778756368.612191 1.049791 -30.774454 0.333140 -0.657129 0.220951 -0.223842 0.685023
1778756368.765960 1.049779 -30.774410 0.333112 -0.657177 0.220923 -0.223773 0.685009
1778756368.885293 1.049776 -30.774403 0.333113 -0.657185 0.220905 -0.223729 0.685021
1778756369.035072 1.049863 -30.774491 0.333126 -0.657125 0.221035 -0.223802 0.685013
1778756369.168143 1.049827 -30.774468 0.333128 -0.657140 0.220985 -0.223707 0.685045
1778756369.308932 1.045897 -30.775409 0.331100 -0.658589 0.214549 -0.225038 0.685264
1778756369.451428 1.036628 -30.774836 0.327190 -0.665332 0.204762 -0.222927 0.682429
1778756369.591527 1.038594 -30.770148 0.325533 -0.666920 0.202609 -0.221664 0.681933
1778756369.729175 1.040233 -30.766211 0.324120 -0.667975 0.202025 -0.220437 0.681471
1778756369.880060 1.041155 -30.764438 0.323984 -0.667987 0.201886 -0.219631 0.681761
1778756370.008906 1.042017 -30.763200 0.323910 -0.668033 0.201966 -0.219312 0.681795
1778756370.154466 1.042693 -30.762023 0.323883 -0.668090 0.201926 -0.219052 0.681834
1778756370.293541 1.043165 -30.761358 0.323871 -0.668091 0.201944 -0.218890 0.681880
1778756370.433447 1.043485 -30.760905 0.323920 -0.668032 0.201973 -0.218773 0.681967
1778756370.571419 1.043726 -30.760238 0.323943 -0.668069 0.201854 -0.218596 0.682023
1778756370.715255 1.044037 -30.759906 0.323940 -0.668094 0.201924 -0.218529 0.681999
1778756370.851024 1.043962 -30.759905 0.323916 -0.668054 0.201865 -0.218504 0.682063
1778756371.003897 1.043921 -30.759870 0.324063 -0.668051 0.201818 -0.218450 0.682097
1778756371.135947 1.043990 -30.759865 0.324006 -0.668019 0.201866 -0.218411 0.682127
1778756371.274848 1.043861 -30.759727 0.323923 -0.668083 0.201740 -0.218302 0.682137
1778756371.415389 1.043901 -30.759779 0.323919 -0.668065 0.201788 -0.218294 0.682143
1778756371.552264 1.043928 -30.759778 0.323966 -0.668058 0.201817 -0.218275 0.682148
1778756371.721346 1.043817 -30.759764 0.324006 -0.668048 0.201722 -0.218254 0.682192
1778756371.834461 1.043902 -30.759805 0.324038 -0.667989 0.201798 -0.218204 0.682243
1778756371.974660 1.043853 -30.759735 0.324070 -0.668001 0.201744 -0.218198 0.682248
1778756372.112866 1.043898 -30.759714 0.324058 -0.668001 0.201772 -0.218113 0.682268
1778756372.258756 1.044001 -30.759711 0.323954 -0.668033 0.201857 -0.218096 0.682217
1778756372.397776 1.043897 -30.759677 0.324026 -0.668009 0.201771 -0.218043 0.682282
1778756372.541778 1.043962 -30.759704 0.324040 -0.667986 0.201833 -0.218026 0.682292
1778756372.678842 1.043967 -30.759720 0.324046 -0.667967 0.201841 -0.217989 0.682321
1778756372.825192 1.044540 -30.758542 0.324200 -0.667893 0.201731 -0.217986 0.682426
1778756372.968378 1.061690 -30.751523 0.318731 -0.664059 0.221555 -0.220962 0.679055
1778756373.101229 1.114814 -30.756061 0.313210 -0.652588 0.264140 -0.267019 0.658073
1778756373.249834 1.146569 -30.739940 0.303595 0.652260 -0.275536 0.280427 -0.648073
1778756373.386402 1.162959 -30.715290 0.296067 0.658190 -0.278518 0.282575 -0.639816
1778756373.524915 1.169989 -30.685595 0.278940 0.671698 -0.275010 0.288417 -0.624505
1778756373.670290 1.153364 -30.688806 0.281823 0.673503 -0.272935 0.289232 -0.623093
1778756373.817147 1.130572 -30.709833 0.285966 0.669315 -0.268880 0.290869 -0.628583
1778756373.943614 1.104101 -30.735891 0.293660 0.662550 -0.270443 0.290346 -0.635286
