# raw base_link odometry (TUM format), robot's own estimator
1778756366.225555 0.871836 -31.009483 0.049653 -0.028384 0.042321 -0.453180 -0.889961
1778756366.269785 0.871870 -31.009449 0.049717 -0.028448 0.042259 -0.453185 -0.889960
1778756366.322788 0.871933 -31.009405 0.049883 -0.028654 0.042053 -0.453180 -0.889965
1778756366.372711 0.871997 -31.009323 0.050046 -0.028900 0.041824 -0.453223 -0.889946
1778756366.426671 0.872053 -31.009214 0.050245 -0.029028 0.041648 -0.453034 -0.890047
1778756366.479633 0.872075 -31.009077 0.050439 -0.029168 0.041521 -0.452757 -0.890189
1778756366.533181 0.872122 -31.008947 0.050592 -0.029345 0.041367 -0.452571 -0.890285
1778756366.608644 0.872177 -31.008793 0.050782 -0.029360 0.041223 -0.452503 -0.890326
1778756366.665130 0.872225 -31.008665 0.050938 -0.029478 0.041072 -0.452324 -0.890420
1778756366.699548 0.872245 -31.008516 0.051083 -0.029500 0.040962 -0.452101 -0.890537
1778756366.746260 0.872275 -31.008368 0.051211 -0.029600 0.040873 -0.451999 -0.890590
1778756366.821123 0.872240 -31.008081 0.051340 -0.029518 0.040946 -0.452332 -0.890420
1778756366.868881 0.871664 -31.008579 0.052032 -0.028876 0.041255 -0.452212 -0.890488
1778756366.908188 0.871180 -31.010416 0.057100 -0.024517 0.037385 -0.451870 -0.890963
1778756366.956429 0.868819 -31.013830 0.064509 -0.021761 0.036903 -0.451397 -0.891294
1778756367.025133 0.865155 -31.019531 0.079137 -0.025110 0.041413 -0.451182 -0.891117
1778756367.069346 0.861492 -31.025459 0.097141 -0.029801 0.047601 -0.450814 -0.890850
1778756367.119303 0.858130 -31.030867 0.121364 -0.031094 0.048237 -0.450150 -0.891107
1778756367.176037 0.856313 -31.033848 0.144963 -0.029487 0.044439 -0.449752 -0.891560
1778756367.340435 0.855672 -31.035128 0.169584 -0.026936 0.039544 -0.449532 -0.891982
1778756367.379162 0.856173 -31.034882 0.192546 -0.024791 0.034982 -0.449252 -0.892375
1778756367.431158 0.857273 -31.033340 0.215918 -0.021811 0.030500 -0.448985 -0.892752
1778756367.433254 0.858879 -31.031183 0.238510 -0.019867 0.026995 -0.448875 -0.892966
1778756367.481419 0.860352 -31.028923 0.259222 -0.018040 0.024720 -0.448717 -0.893150
1778756367.502922 0.862783 -31.025555 0.279785 -0.016251 0.022621 -0.448790 -0.893203
1778756367.566278 0.865020 -31.022514 0.298876 -0.014991 0.021262 -0.449010 -0.893148
1778756367.602697 0.867660 -31.018675 0.312041 -0.015066 0.021315 -0.449549 -0.892874
1778756367.656184 0.870615 -31.014866 0.317616 -0.013728 0.018354 -0.448991 -0.893242
1778756367.725410 0.873063 -31.011757 0.319913 -0.012683 0.015670 -0.447782 -0.893915
1778756367.768376 0.874090 -31.010523 0.321081 -0.012140 0.014411 -0.447864 -0.893903
1778756367.833519 0.873958 -31.010702 0.321515 -0.012042 0.014245 -0.448046 -0.893816
1778756367.870275 0.873014 -31.011820 0.321626 -0.012059 0.014456 -0.448038 -0.893816
1778756367.937982 0.871901 -31.013193 0.321611 -0.012123 0.014835 -0.448735 -0.893460
1778756367.982602 0.870767 -31.014839 0.321527 -0.012442 0.015296 -0.449064 -0.893282
1778756368.030955 0.870164 -31.015642 0.321465 -0.012605 0.015563 -0.448734 -0.893441
1778756368.082353 0.870128 -31.015673 0.321449 -0.012618 0.015632 -0.448647 -0.893483
1778756368.139324 0.870389 -31.015316 0.321470 -0.012537 0.015509 -0.448643 -0.893489
1778756368.194036 0.870622 -31.015020 0.321494 -0.012522 0.015440 -0.448599 -0.893512
1778756368.246944 0.870714 -31.014833 0.321511 -0.012466 0.015413 -0.448650 -0.893488
1778756368.299447 0.870731 -31.014784 0.321519 -0.012432 0.015384 -0.448645 -0.893491
1778756368.351328 0.870719 -31.014843 0.321519 -0.012461 0.015396 -0.448646 -0.893490
1778756368.406554 0.870693 -31.014914 0.321516 -0.012492 0.015438 -0.448769 -0.893427
1778756368.459523 0.870662 -31.014904 0.321516 -0.012488 0.015466 -0.448775 -0.893424
1778756368.512551 0.870672 -31.014870 0.321518 -0.012476 0.015445 -0.448713 -0.893456
