# camera_optical trajectory from onboard odometry (NOT ground truth)
1778755153.596083 -4.599216 -28.795873 0.097318 -0.673266 -0.064972 0.046891 0.735046
1778755153.712995 -4.597597 -28.811361 0.144216 -0.666070 -0.062993 0.048518 0.741639
1778755153.852784 -4.597585 -28.816533 0.202311 -0.675187 -0.062197 0.047149 0.733506
1778755153.997053 -4.600148 -28.808789 0.255084 -0.686379 -0.062554 0.044316 0.723192
1778755154.132139 -4.603529 -28.798800 0.302709 -0.691325 -0.062893 0.042337 0.718555
1778755154.285015 -4.604807 -28.785651 0.327967 -0.695217 -0.061371 0.040637 0.715021
1778755154.411234 -4.605064 -28.782210 0.328550 -0.697333 -0.061308 0.040843 0.712951
1778755154.518377 -4.605007 -28.785602 0.329079 -0.696911 -0.061736 0.041017 0.713317
1778755154.626076 -4.604898 -28.788141 0.329419 -0.696423 -0.062091 0.041588 0.713730
1778755154.772483 -4.604605 -28.787985 0.329433 -0.696444 -0.061702 0.041276 0.713761
1778755154.918110 -4.604510 -28.787380 0.329342 -0.696617 -0.061485 0.041086 0.713622
1778755155.040824 -4.604618 -28.787487 0.329388 -0.696550 -0.061634 0.041207 0.713667
1778755155.180884 -4.604492 -28.787418 0.329371 -0.696589 -0.061472 0.041065 0.713651
1778755155.327279 -4.604644 -28.787439 0.329365 -0.696580 -0.061650 0.041122 0.713642
1778755155.461429 -4.604554 -28.787362 0.329315 -0.696656 -0.061543 0.041024 0.713582
1778755155.623809 -4.604527 -28.787360 0.329317 -0.696658 -0.061515 0.041009 0.713584
1778755155.741855 -4.604558 -28.787352 0.329320 -0.696654 -0.061539 0.040978 0.713587
1778755155.882027 -4.604748 -28.791140 0.329359 -0.695333 -0.064909 0.041127 0.714568
1778755156.027612 -4.611695 -28.796454 0.322116 -0.697348 -0.076754 0.042612 0.711336
1778755156.164667 -4.615234 -28.793564 0.319658 -0.698039 -0.082484 0.043489 0.709963
1778755156.304198 -4.616719 -28.789013 0.323171 -0.698214 -0.083544 0.044123 0.709627
1778755156.444844 -4.617232 -28.786690 0.324487 -0.698281 -0.083711 0.044456 0.709520
1778755156.580964 -4.617631 -28.785141 0.320991 -0.698290 -0.083799 0.044573 0.709494
1778755156.722830 -4.618010 -28.783788 0.319107 -0.698356 -0.083871 0.044824 0.709405
1778755156.863993 -4.618386 -28.782484 0.323304 -0.698406 -0.083964 0.045007 0.709334
1778755157.002105 -4.618565 -28.781827 0.324154 -0.698442 -0.083993 0.045134 0.709286
1778755157.152729 -4.618853 -28.781125 0.323355 -0.698455 -0.084114 0.045224 0.709254
1778755157.329656 -4.619005 -28.780506 0.324172 -0.698441 -0.084132 0.045440 0.709251
1778755157.430361 -4.619156 -28.779960 0.324239 -0.698436 -0.084148 0.045490 0.709251
1778755157.567431 -4.619230 -28.779397 0.324240 -0.698468 -0.084114 0.045571 0.709218
1778755157.710214 -4.614699 -28.776212 0.322456 -0.699058 -0.078638 0.038958 0.709659
1778755157.844072 -4.591324 -28.773199 0.321555 -0.704030 -0.050142 0.013632 0.708267
1778755157.982308 -4.552121 -28.770272 0.325073 0.707232 -0.001642 0.038407 -0.705935
1778755158.121973 -4.520254 -28.769127 0.320616 0.710089 -0.044902 0.085540 -0.697452
1778755158.280539 -4.505091 -28.766890 0.317109 0.708308 -0.071175 0.111350 -0.693423
1778755158.407751 -4.500363 -28.764534 0.310640 0.705487 -0.085824 0.122582 -0.692745
1778755158.543223 -4.509504 -28.760125 0.308995 0.706759 -0.077929 0.109639 -0.694549
1778755158.688773 -4.533561 -28.754826 0.309845 0.710469 -0.047485 0.074123 -0.698202
1778755158.831077 -4.570822 -28.750843 0.312045 0.710522 -0.002559 0.024376 -0.703248
1778755158.961802 -4.614219 -28.748378 0.314017 0.706215 0.041214 -0.029008 -0.706201
1778755159.103605 -4.637321 -28.752324 0.312148 0.704355 0.059868 -0.065452 -0.704284
1778755159.241729 -4.665148 -28.757043 0.294591 0.715805 0.100296 -0.071318 -0.687370
1778755159.385232 -4.678770 -28.759381 0.290249 0.715368 0.114622 -0.079312 -0.684705
1778755159.528175 -4.679903 -28.760364 0.287950 0.713986 0.119066 -0.080959 -0.685196
1778755159.663819 -4.679770 -28.760331 0.287744 0.714000 0.119132 -0.080222 -0.685256
1778755159.819915 -4.679102 -28.760296 0.287690 0.713974 0.118684 -0.079487 -0.685447
