# raw base_link odometry (TUM format), robot's own estimator
1778753750.877658 2.111155 -12.675895 0.048143 0.025082 0.010611 0.799358 -0.600238
1778753750.930065 2.111148 -12.675950 0.048190 0.025049 0.010627 0.799314 -0.600297
1778753750.984738 2.111158 -12.676014 0.048293 0.025041 0.010690 0.799321 -0.600287
1778753751.708765 2.111178 -12.676076 0.048419 0.024924 0.010684 0.799353 -0.600250
1778753751.712527 2.111206 -12.676122 0.048566 0.024847 0.010740 0.799378 -0.600219
1778753751.718573 2.111248 -12.676177 0.048713 0.024787 0.010812 0.799414 -0.600173
1778753751.725868 2.111279 -12.676223 0.048856 0.024726 0.010845 0.799463 -0.600108
1778753751.743834 2.111305 -12.676271 0.048984 0.024676 0.010904 0.799502 -0.600058
1778753751.747222 2.111319 -12.676332 0.049130 0.024615 0.011024 0.799589 -0.599942
1778753751.748427 2.111350 -12.676400 0.049224 0.024605 0.011110 0.799717 -0.599770
1778753751.766847 2.111409 -12.676481 0.049326 0.024507 0.011259 0.799907 -0.599518
1778753751.780921 2.111480 -12.676329 0.049534 0.024512 0.011155 0.800071 -0.599301
1778753751.783128 2.114691 -12.666888 0.073802 0.024122 0.007172 0.800401 -0.598937
1778753751.788838 2.116103 -12.660958 0.091731 0.029168 0.014044 0.800143 -0.598935
1778753751.825986 2.117659 -12.655177 0.115886 0.030952 0.017623 0.800201 -0.598673
1778753751.858617 2.118716 -12.651965 0.142548 0.028437 0.016679 0.800725 -0.598124
1778753751.870086 2.118870 -12.651712 0.168206 0.024070 0.014040 0.801284 -0.597635
1778753751.893569 2.118614 -12.653190 0.191507 0.019424 0.010652 0.801766 -0.597228
1778753751.962257 2.117815 -12.656543 0.216532 0.014408 0.006999 0.802132 -0.596932
1778753752.003985 2.117010 -12.660647 0.239724 0.011046 0.004129 0.802656 -0.596326
1778753752.056706 2.116241 -12.664991 0.260830 0.009108 0.001970 0.803038 -0.595855
1778753752.110206 2.115464 -12.669629 0.281502 0.007410 0.000049 0.803394 -0.595402
1778753752.165025 2.114547 -12.674742 0.300606 0.006351 -0.001369 0.803870 -0.594769
1778753752.216966 2.113359 -12.679350 0.310793 0.006834 -0.001647 0.804052 -0.594518
1778753752.270270 2.111723 -12.684778 0.316588 0.004551 -0.003608 0.804378 -0.594090
1778753752.324626 2.110387 -12.688828 0.320892 0.002154 -0.005433 0.804491 -0.593937
1778753752.377415 2.109668 -12.690611 0.322576 0.000913 -0.006395 0.804230 -0.594283
1778753752.435147 2.109566 -12.690532 0.323261 0.000651 -0.006506 0.804214 -0.594305
1778753752.481308 2.109956 -12.689319 0.323586 0.000848 -0.006380 0.804418 -0.594029
1778753752.545044 2.110766 -12.686918 0.323802 0.001288 -0.006279 0.804077 -0.594491
1778753752.599861 2.111391 -12.685169 0.323844 0.001807 -0.005997 0.803818 -0.594843
1778753752.654078 2.111796 -12.684265 0.323860 0.002224 -0.005867 0.803860 -0.594785
1778753752.707641 2.111770 -12.684242 0.323881 0.002285 -0.005791 0.803914 -0.594712
1778753752.761361 2.111559 -12.684820 0.323913 0.002125 -0.005853 0.803987 -0.594614
1778753752.817580 2.111386 -12.685365 0.323936 0.002005 -0.005938 0.803980 -0.594623
1778753752.866488 2.111316 -12.685639 0.323955 0.001951 -0.006002 0.803958 -0.594652
1778753752.921481 2.111287 -12.685673 0.323957 0.001905 -0.006000 0.803994 -0.594604
1778753752.975653 2.111305 -12.685515 0.323954 0.001949 -0.005902 0.804023 -0.594565
