# raw base_link odometry (TUM format), robot's own estimator
1778055133.205233 0.007720 0.015355 0.313604 -0.011920 0.001561 0.220458 0.975323
1778055133.256638 0.008235 0.018118 0.312003 -0.016959 0.007213 0.235567 0.971683
1778055133.314265 0.007537 0.022511 0.309240 -0.017728 0.011668 0.251077 0.967734
1778055133.366258 0.008521 0.025691 0.306341 -0.011002 0.009240 0.268914 0.963057
1778055133.419414 0.010916 0.028632 0.306886 -0.013624 0.007199 0.286648 0.957912
1778055133.473771 0.014511 0.028525 0.307157 -0.015362 0.005304 0.308168 0.951193
1778055133.526114 0.019020 0.029923 0.309618 -0.015088 0.009016 0.335012 0.942050
1778055133.584142 0.026253 0.033794 0.312470 -0.016609 0.011821 0.360769 0.932433
1778055133.639827 0.033869 0.039233 0.312064 -0.018616 0.010152 0.388488 0.921210
1778055133.686409 0.043549 0.042272 0.309735 -0.018924 0.003288 0.416242 0.909051
1778055133.739942 0.052403 0.049094 0.311251 -0.012465 0.008420 0.440961 0.897400
1778055133.795037 0.057311 0.054546 0.312484 -0.016925 0.012404 0.465053 0.885034
1778055133.856134 0.061336 0.059713 0.312147 -0.021330 0.013499 0.488637 0.872122
1778055133.901393 0.064987 0.066943 0.309857 -0.023456 0.013704 0.511105 0.859089
1778055133.953395 0.068285 0.077026 0.306895 -0.027672 0.015790 0.531532 0.846439
1778055134.006748 0.072165 0.086333 0.303829 -0.019496 0.015936 0.550160 0.834680
1778055134.059463 0.075507 0.097991 0.302593 -0.018313 0.013639 0.565433 0.824478
1778055134.108418 0.078041 0.107017 0.304706 -0.020652 0.009046 0.578331 0.815491
1778055134.161641 0.079733 0.116022 0.307454 -0.021650 0.004361 0.595659 0.802934
1778055134.218688 0.080579 0.127003 0.308344 -0.024242 -0.000610 0.613683 0.789180
1778055134.268103 0.081550 0.139385 0.308558 -0.023555 -0.001213 0.629488 0.776652
1778055134.317970 0.083338 0.153360 0.307665 -0.017537 0.006340 0.644884 0.764053
1778055134.371056 0.084283 0.168032 0.305303 -0.014568 0.006045 0.661313 0.749945
1778055134.425565 0.085924 0.183718 0.304777 -0.009764 0.005941 0.675903 0.736902
1778055134.478839 0.087731 0.196283 0.305517 -0.011972 0.003742 0.688213 0.725400
1778055134.532081 0.090130 0.208278 0.304489 -0.006668 0.002501 0.700599 0.713519
1778055134.581267 0.090896 0.219488 0.303546 0.001480 0.000373 0.710859 0.703333
1778055134.641500 0.090221 0.235373 0.301468 0.002455 -0.000877 0.720824 0.693113
1778055134.687179 0.085972 0.250411 0.301671 -0.009856 -0.002754 0.727969 0.685534
1778055134.744240 0.080618 0.269291 0.301944 -0.007876 -0.004202 0.738262 0.674455
1778055134.793982 0.076033 0.282441 0.304802 -0.004154 -0.003856 0.749225 0.662292
1778055134.847707 0.070522 0.296805 0.306912 -0.005913 -0.005682 0.759193 0.650814
1778055134.904809 0.063172 0.316536 0.305822 -0.006100 -0.018415 0.769010 0.638942
1778055134.957761 0.058792 0.337850 0.303198 -0.000191 -0.010124 0.778858 0.627119
1778055135.014119 0.053608 0.360452 0.300404 -0.000428 -0.006681 0.788676 0.614773
1778055135.066918 0.050465 0.380383 0.304285 0.001246 -0.003987 0.796858 0.604152
1778055135.133469 0.049655 0.394973 0.304793 0.008218 -0.002027 0.803865 0.594751
1778055135.169670 0.043765 0.417288 0.303865 0.015590 0.000229 0.809718 0.586612
1778055135.218939 0.037715 0.437469 0.302447 0.012831 -0.000303 0.816012 0.577893
1778055135.275936 0.026907 0.458607 0.303167 -0.003784 -0.005225 0.819463 0.573096
1778055135.326711 0.016506 0.480483 0.302508 -0.005226 -0.002638 0.826039 0.563583
