# camera_optical trajectory from onboard odometry (NOT ground truth)
1778755010.745726 -4.417764 -30.543387 0.326859 0.097314 -0.695967 0.702159 -0.114600
1778755010.880776 -4.417560 -30.544065 0.326766 0.097316 -0.696116 0.702014 -0.114580
1778755011.045973 -4.417582 -30.543883 0.326824 0.097353 -0.696038 0.702078 -0.114629
1778755011.159649 -4.417569 -30.543990 0.326773 0.097328 -0.696110 0.702020 -0.114569
1778755011.298995 -4.417571 -30.543978 0.326781 0.097332 -0.696099 0.702029 -0.114576
1778755011.443080 -4.417570 -30.543958 0.326793 0.097341 -0.696084 0.702041 -0.114587
1778755011.577243 -4.417570 -30.543940 0.326804 0.097350 -0.696069 0.702053 -0.114597
1778755011.719980 -4.417569 -30.543921 0.326815 0.097359 -0.696054 0.702065 -0.114607
1778755011.850041 -4.417301 -30.543922 0.326760 0.097648 -0.696094 0.701987 -0.114601
1778755012.001372 -4.411062 -30.531352 0.319332 0.111915 -0.695543 0.700280 -0.115337
1778755012.151238 -4.406870 -30.530265 0.314561 0.118784 -0.696562 0.697896 -0.116758
1778755012.279835 -4.404036 -30.534550 0.313192 0.121655 -0.696502 0.697291 -0.117775
1778755012.419626 -4.401660 -30.536508 0.311444 0.124204 -0.696602 0.696650 -0.118314
1778755012.570979 -4.400964 -30.537228 0.310951 0.124996 -0.696466 0.696578 -0.118704
1778755012.707794 -4.400393 -30.537579 0.310980 0.125692 -0.696235 0.696592 -0.119236
1778755012.841906 -4.400159 -30.537893 0.311724 0.125911 -0.696190 0.696561 -0.119451
1778755012.980702 -4.399914 -30.538172 0.312076 0.126081 -0.696118 0.696579 -0.119586
1778755013.116631 -4.399660 -30.538778 0.312220 0.126120 -0.696067 0.696596 -0.119746
1778755013.261246 -4.399326 -30.539514 0.312246 0.126160 -0.696071 0.696562 -0.119879
1778755013.400075 -4.398813 -30.540161 0.312203 0.126436 -0.696054 0.696499 -0.120048
1778755013.540099 -4.398541 -30.540774 0.312181 0.126474 -0.696049 0.696476 -0.120177
1778755013.687819 -4.398216 -30.541375 0.312151 0.126528 -0.696075 0.696402 -0.120391
1778755013.821303 -4.397974 -30.541632 0.312191 0.126620 -0.696040 0.696386 -0.120591
1778755013.967420 -4.397825 -30.541744 0.312215 0.126682 -0.696018 0.696372 -0.120735
1778755014.129272 -4.397686 -30.541793 0.312224 0.126781 -0.695986 0.696366 -0.120848
