# raw base_link odometry (TUM format), robot's own estimator
1778755008.837661 -4.501917 -30.252174 0.051920 0.015389 0.048621 0.589188 -0.806385
1778755008.890584 -4.501906 -30.252174 0.051937 0.015407 0.048601 0.589193 -0.806382
1778755009.299177 -4.501882 -30.252201 0.051989 0.015402 0.048619 0.589210 -0.806369
1778755009.305224 -4.501854 -30.252232 0.052060 0.015385 0.048617 0.589233 -0.806352
1778755009.310720 -4.501793 -30.252285 0.052209 0.015301 0.048570 0.589361 -0.806264
1778755009.350981 -4.501757 -30.252325 0.052208 0.015270 0.048527 0.589417 -0.806226
1778755009.354127 -4.501719 -30.252359 0.052241 0.015230 0.048565 0.589370 -0.806258
1778755009.375137 -4.501654 -30.252377 0.052266 0.015217 0.048540 0.589491 -0.806172
1778755009.399335 -4.501481 -30.252403 0.052219 0.015156 0.048502 0.590003 -0.805801
1778755009.421932 -4.501335 -30.252411 0.052238 0.015222 0.048431 0.590337 -0.805559
1778755009.476496 -4.501829 -30.251486 0.053920 0.015261 0.047305 0.590432 -0.805556
1778755009.540035 -4.502960 -30.249702 0.060709 0.012945 0.040927 0.590863 -0.805629
1778755009.577667 -4.504404 -30.245619 0.070190 0.013294 0.037641 0.591633 -0.805219
1778755009.630183 -4.506808 -30.239397 0.084722 0.016755 0.042049 0.591136 -0.805301
1778755009.685871 -4.509737 -30.233250 0.104437 0.019169 0.047263 0.591055 -0.805017
1778755009.734474 -4.512152 -30.229002 0.126266 0.017410 0.047282 0.591282 -0.804890
1778755009.798307 -4.513762 -30.227337 0.150698 0.013304 0.043105 0.591696 -0.804898
1778755009.840961 -4.514522 -30.227791 0.174714 0.008736 0.037985 0.592192 -0.804854
1778755009.906135 -4.514672 -30.230040 0.199589 0.004661 0.032523 0.592454 -0.804934
1778755009.947125 -4.514058 -30.233543 0.223520 0.001468 0.027684 0.592774 -0.804892
1778755010.000843 -4.513003 -30.237341 0.245539 -0.000339 0.023383 0.593066 -0.804814
1778755010.053545 -4.511730 -30.241573 0.266863 -0.001631 0.020185 0.592993 -0.804953
1778755010.117290 -4.510410 -30.245770 0.287027 -0.002419 0.018055 0.593151 -0.804885
1778755010.163104 -4.509071 -30.249847 0.304512 -0.002590 0.016581 0.593401 -0.804732
1778755010.214043 -4.507502 -30.253916 0.313756 -0.002323 0.016125 0.593307 -0.804811
1778755010.267836 -4.506124 -30.258396 0.319445 -0.004305 0.013451 0.593575 -0.804655
1778755010.320105 -4.505220 -30.261482 0.321547 -0.005723 0.011615 0.593497 -0.804732
1778755010.374869 -4.504962 -30.262632 0.322582 -0.006400 0.010859 0.593337 -0.804855
1778755010.427626 -4.505115 -30.262106 0.322952 -0.006429 0.010853 0.593535 -0.804710
1778755010.480559 -4.505476 -30.260826 0.323086 -0.006274 0.010976 0.593575 -0.804679
1778755010.533931 -4.506011 -30.259085 0.323134 -0.006110 0.011178 0.593145 -0.804995
1778755010.587780 -4.506541 -30.257351 0.323132 -0.005807 0.011549 0.592925 -0.805154
1778755010.636942 -4.506752 -30.256531 0.323130 -0.005591 0.011772 0.593110 -0.805016
1778755010.704975 -4.506736 -30.256472 0.323146 -0.005495 0.011823 0.593089 -0.805031
1778755010.752530 -4.506597 -30.256937 0.323166 -0.005556 0.011725 0.593108 -0.805018
1778755010.800835 -4.506434 -30.257372 0.323183 -0.005621 0.011599 0.593193 -0.804957
1778755010.853416 -4.506377 -30.257553 0.323193 -0.005659 0.011549 0.593118 -0.805013
1778755010.908105 -4.506436 -30.257538 0.323195 -0.005707 0.011614 0.593116 -0.805013
1778755010.962621 -4.506469 -30.257429 0.323193 -0.005662 0.011660 0.593144 -0.804992
1778755011.043653 -4.506466 -30.257368 0.323192 -0.005613 0.011663 0.593068 -0.805048
1778755011.066924 -4.506437 -30.257433 0.323194 -0.005666 0.011607 0.593054 -0.805059
1778755011.136356 -4.506415 -30.257463 0.323198 -0.005660 0.011579 0.593110 -0.805018
1778755011.173282 -4.506417 -30.257475 0.323198 -0.005669 0.011574 0.593120 -0.805011
1778755011.722857 -4.506444 -30.257410 0.323197 -0.005618 0.011630 0.593076 -0.805043
1778755011.725377 -4.506393 -30.257381 0.323198 -0.005564 0.011584 0.593009 -0.805094
1778755011.737267 -4.506391 -30.257435 0.323200 -0.005619 0.011556 0.593031 -0.805077
1778755011.740840 -4.506394 -30.257498 0.323202 -0.005678 0.011506 0.593074 -0.805046
1778755011.744829 -4.506346 -30.257498 0.323203 -0.005634 0.011444 0.593056 -0.805060
1778755011.764985 -4.506328 -30.257463 0.323204 -0.005587 0.011441 0.592947 -0.805141
1778755011.777225 -4.506289 -30.257460 0.323205 -0.005560 0.011403 0.592957 -0.805134
1778755011.804192 -4.506312 -30.257504 0.323207 -0.005621 0.011385 0.593034 -0.805077
1778755011.812260 -4.506346 -30.257526 0.323207 -0.005661 0.011417 0.593025 -0.805083
1778755011.816468 -4.506346 -30.257526 0.323207 -0.005661 0.011417 0.593025 -0.805083
1778755011.836456 -4.506267 -30.257433 0.323208 -0.005499 0.011398 0.592866 -0.805202
1778755011.852157 -4.506297 -30.257450 0.323209 -0.005535 0.011427 0.592924 -0.805159
1778755011.885262 -4.507058 -30.251724 0.321200 -0.000369 0.009688 0.592236 -0.805707
1778755011.930741 -4.505934 -30.252518 0.320223 -0.001602 0.008928 0.588575 -0.808392
1778755011.977190 -4.506193 -30.247742 0.318113 0.001047 0.005626 0.585385 -0.810735
1778755012.030255 -4.506249 -30.245789 0.315924 0.000193 0.002232 0.582969 -0.812492
1778755012.084006 -4.505888 -30.245657 0.314792 0.001260 0.000279 0.580864 -0.814000
1778755012.155526 -4.505376 -30.246990 0.314105 0.001707 -0.000386 0.579368 -0.815064
1778755012.186791 -4.505046 -30.248861 0.313623 0.002016 -0.000922 0.578606 -0.815604
1778755012.239720 -4.504553 -30.250622 0.313310 0.002209 -0.001244 0.577704 -0.816243
1778755012.294451 -4.504005 -30.252159 0.313079 0.002380 -0.001655 0.576991 -0.816745
1778755012.366539 -4.503554 -30.253292 0.312925 0.002564 -0.002163 0.576414 -0.817151
1778755012.400447 -4.503115 -30.254000 0.311999 0.002923 -0.002868 0.575567 -0.817745
