# raw base_link odometry (TUM format), robot's own estimator
1778755698.692725 -0.160191 -30.476494 0.049832 -0.019659 -0.045984 -0.346657 0.936658
1778755698.750837 -0.160130 -30.476524 0.049908 -0.019567 -0.045998 -0.346678 0.936651
1778755698.803457 -0.160058 -30.476555 0.050011 -0.019456 -0.045947 -0.346716 0.936642
1778755698.856441 -0.159988 -30.476585 0.050146 -0.019228 -0.045915 -0.346740 0.936640
1778755698.915943 -0.159905 -30.476616 0.050251 -0.019171 -0.045917 -0.346835 0.936605
1778755698.962294 -0.159839 -30.476648 0.050318 -0.019009 -0.045906 -0.346899 0.936586
1778755699.017083 -0.159748 -30.476685 0.050395 -0.018858 -0.045954 -0.346953 0.936566
1778755699.075643 -0.159657 -30.476704 0.050451 -0.018729 -0.045937 -0.347162 0.936492
1778755699.125554 -0.159568 -30.476736 0.050519 -0.018641 -0.045966 -0.347397 0.936405
1778755699.172175 -0.159454 -30.476767 0.050587 -0.018478 -0.045995 -0.347615 0.936326
1778755699.225708 -0.159345 -30.476805 0.050691 -0.018290 -0.046011 -0.348103 0.936148
1778755699.279355 -0.160023 -30.475983 0.051413 -0.018608 -0.045587 -0.348488 0.936019
1778755699.332080 -0.161210 -30.474207 0.058137 -0.017646 -0.040284 -0.348969 0.936102
1778755699.385460 -0.164385 -30.470928 0.067468 -0.017323 -0.037260 -0.349465 0.936048
1778755699.453218 -0.169320 -30.466265 0.082092 -0.019235 -0.041431 -0.349525 0.935813
1778755699.492572 -0.174609 -30.461664 0.102351 -0.020635 -0.045901 -0.349573 0.935557
1778755699.557156 -0.178614 -30.458216 0.126297 -0.019600 -0.045017 -0.349919 0.935493
1778755699.603109 -0.180214 -30.456776 0.152443 -0.017123 -0.039277 -0.350646 0.935528
1778755699.658905 -0.179516 -30.457291 0.177145 -0.014078 -0.032355 -0.351566 0.935498
1778755699.714625 -0.177492 -30.458971 0.201903 -0.010832 -0.024981 -0.352150 0.935548
1778755699.766932 -0.174598 -30.461422 0.224992 -0.008632 -0.019573 -0.352942 0.935401
1778755699.823678 -0.171153 -30.463882 0.248200 -0.007956 -0.015589 -0.353608 0.935230
1778755699.875774 -0.167564 -30.466368 0.269611 -0.007116 -0.012691 -0.353497 0.935323
1778755699.928806 -0.163997 -30.468788 0.288106 -0.006493 -0.010309 -0.353999 0.935167
1778755699.979219 -0.159915 -30.471666 0.303463 -0.006457 -0.008886 -0.354612 0.934949
1778755700.033608 -0.156207 -30.474384 0.314612 -0.006666 -0.008051 -0.354832 0.934872
1778755700.086171 -0.152324 -30.477934 0.319601 -0.005295 -0.004374 -0.355722 0.934566
1778755700.138842 -0.149756 -30.480276 0.321785 -0.004401 -0.002009 -0.355583 0.934632
1778755700.189441 -0.149059 -30.481098 0.322716 -0.003966 -0.001237 -0.355185 0.934787
1778755700.259400 -0.149594 -30.480745 0.323070 -0.003884 -0.001277 -0.355279 0.934751
1778755700.296055 -0.150808 -30.479643 0.323241 -0.004049 -0.001575 -0.355517 0.934660
1778755700.349488 -0.152135 -30.478355 0.323295 -0.004278 -0.001909 -0.355136 0.934803
1778755700.402406 -0.153182 -30.477377 0.323312 -0.004518 -0.002359 -0.354637 0.934990
1778755700.457015 -0.153815 -30.476871 0.323322 -0.004576 -0.002661 -0.354928 0.934879
1778755700.508944 -0.153851 -30.476830 0.323335 -0.004628 -0.002710 -0.355109 0.934810
1778755700.562918 -0.153519 -30.477047 0.323351 -0.004656 -0.002604 -0.355073 0.934824
1778755700.616622 -0.153141 -30.477367 0.323368 -0.004602 -0.002462 -0.355223 0.934767
1778755700.682760 -0.152930 -30.477592 0.323378 -0.004532 -0.002379 -0.355320 0.934731
1778755700.724872 -0.152863 -30.477644 0.323383 -0.004549 -0.002344 -0.355194 0.934779
1778755700.817818 -0.152855 -30.477585 0.323385 -0.004610 -0.002336 -0.355048 0.934834
1778755700.830253 -0.152909 -30.477549 0.323384 -0.004614 -0.002388 -0.354999 0.934852
1778755700.887828 -0.152934 -30.477583 0.323385 -0.004550 -0.002397 -0.355087 0.934819
1778755700.934546 -0.152948 -30.477610 0.323387 -0.004520 -0.002412 -0.355167 0.934789
1778755700.990262 -0.152911 -30.477612 0.323388 -0.004532 -0.002376 -0.355098 0.934815
1778755701.038988 -0.152919 -30.477596 0.323390 -0.004540 -0.002387 -0.355044 0.934835
1778755701.092423 -0.152916 -30.477612 0.323391 -0.004521 -0.002380 -0.355083 0.934821
1778755701.146074 -0.152963 -30.477627 0.323391 -0.004500 -0.002426 -0.355096 0.934816
1778755701.199102 -0.152878 -30.477642 0.323394 -0.004505 -0.002311 -0.355004 0.934851
1778755701.252165 -0.152870 -30.477610 0.323394 -0.004565 -0.002321 -0.354968 0.934865
1778755701.306086 -0.152896 -30.477617 0.323395 -0.004541 -0.002360 -0.355017 0.934846
1778755701.362007 -0.152943 -30.477640 0.323396 -0.004489 -0.002400 -0.355086 0.934820
1778755701.414727 -0.152932 -30.477648 0.323397 -0.004491 -0.002376 -0.355001 0.934852
1778755701.465429 -0.152912 -30.477589 0.323397 -0.004558 -0.002381 -0.354907 0.934888
1778755701.519532 -0.152913 -30.477604 0.323397 -0.004549 -0.002389 -0.354957 0.934868
1778755701.577018 -0.152917 -30.477654 0.323399 -0.004492 -0.002368 -0.355034 0.934840
