# camera_optical trajectory from onboard odometry (NOT ground truth)
1778755699.818943 0.053408 -30.661995 0.256897 0.286892 -0.632432 0.656366 -0.294801
1778755699.972100 0.064046 -30.670109 0.307767 0.288915 -0.636978 0.652527 -0.291540
1778755700.096585 0.072263 -30.677840 0.323316 0.290048 -0.640625 0.649650 -0.288837
1778755700.243113 0.074805 -30.680072 0.324531 0.291069 -0.642423 0.647594 -0.288433
1778755700.382901 0.071662 -30.676769 0.325479 0.291168 -0.641560 0.648182 -0.288932
1778755700.521045 0.070561 -30.676043 0.325833 0.290830 -0.641296 0.648617 -0.288882
1778755700.668352 0.071278 -30.676803 0.325690 0.290795 -0.641547 0.648491 -0.288645
1778755700.825217 0.071486 -30.676690 0.325695 0.291036 -0.641442 0.648421 -0.288790
1778755700.938241 0.071367 -30.676805 0.325702 0.290870 -0.641511 0.648442 -0.288759
1778755701.078072 0.071434 -30.676760 0.325691 0.290948 -0.641495 0.648403 -0.288804
1778755701.214695 0.071509 -30.676747 0.325655 0.291035 -0.641506 0.648342 -0.288826
1778755701.358088 0.071407 -30.676794 0.325698 0.290918 -0.641506 0.648396 -0.288823
1778755701.506227 0.071492 -30.676691 0.325705 0.291046 -0.641440 0.648378 -0.288882
1778755701.639220 0.071090 -30.676529 0.325375 0.291700 -0.640852 0.648780 -0.288627
1778755701.781536 0.074842 -30.663253 0.320412 0.305706 -0.634282 0.644994 -0.297007
1778755701.926425 0.089023 -30.644400 0.314602 0.336313 -0.623274 0.630493 -0.317651
1778755702.057369 0.108406 -30.615197 0.317063 0.374621 -0.600528 0.615813 -0.346121
1778755702.205913 0.120778 -30.594753 0.315453 0.396121 -0.586642 0.602088 -0.369363
1778755702.339331 0.127878 -30.585519 0.314805 0.404548 -0.580540 0.594273 -0.382301
1778755702.484069 0.130357 -30.590316 0.313674 0.404793 -0.584371 0.599736 -0.367383
1778755702.616605 0.124715 -30.609929 0.311320 0.386595 -0.601669 0.614901 -0.332318
1778755702.757092 0.111517 -30.636722 0.309511 0.344563 -0.625400 0.635126 -0.294560
1778755702.894683 0.100281 -30.652875 0.308053 0.315097 -0.640436 0.645445 -0.271950
1778755703.044032 0.093739 -30.663079 0.302415 0.301422 -0.648980 0.649115 -0.258106
1778755703.177815 0.087601 -30.667908 0.301156 -0.291447 0.655384 -0.647725 0.256872
1778755703.315350 0.088380 -30.665527 0.301823 -0.284273 0.657026 -0.649327 0.256672
1778755703.455966 0.092374 -30.662316 0.303415 -0.284324 0.655942 -0.649032 0.260109
1778755703.597975 0.093931 -30.660954 0.303929 -0.285349 0.655141 -0.648557 0.262184
1778755703.736456 0.095429 -30.659521 0.304294 -0.286641 0.654277 -0.648153 0.263925
1778755703.880706 0.096659 -30.658492 0.304636 -0.287658 0.653558 -0.647870 0.265290
1778755704.018455 0.097740 -30.657518 0.304839 -0.288597 0.653014 -0.647465 0.266596
1778755704.169194 0.098849 -30.656435 0.305242 -0.289567 0.652265 -0.647324 0.267718
1778755704.299914 0.099557 -30.655839 0.305405 -0.290073 0.651931 -0.647065 0.268609
1778755704.438437 0.099986 -30.655531 0.305476 -0.290342 0.651755 -0.646870 0.269213
1778755704.580170 0.100454 -30.655337 0.305492 -0.290621 0.651615 -0.646676 0.269719
