# raw base_link odometry (TUM format), robot's own estimator
1778754108.329343 1.131621 -16.756163 0.051458 0.022778 -0.044155 0.674155 0.736917
1778754108.382642 1.131613 -16.756102 0.051567 0.022786 -0.044135 0.674149 0.736924
1778754108.819162 1.131600 -16.755980 0.051719 0.022802 -0.044104 0.674178 0.736899
1778754108.824661 1.131602 -16.755829 0.051835 0.022792 -0.044086 0.674111 0.736960
1778754108.831363 1.131607 -16.755705 0.051847 0.022730 -0.044108 0.674105 0.736967
1778754108.844659 1.131619 -16.755579 0.051901 0.022750 -0.043989 0.674025 0.737047
1778754108.848931 1.131625 -16.755440 0.051955 0.022699 -0.043922 0.674003 0.737073
1778754108.854587 1.131558 -16.755341 0.052003 0.022550 -0.043902 0.673805 0.737260
1778754108.857419 1.131508 -16.755264 0.052116 0.022504 -0.043841 0.673735 0.737328
1778754108.870058 1.131481 -16.755156 0.052252 0.022241 -0.043502 0.673410 0.737653
1778754108.881750 1.131449 -16.755018 0.052393 0.022171 -0.043313 0.672648 0.738361
1778754108.917041 1.131325 -16.755217 0.052483 0.021774 -0.043842 0.672287 0.738671
1778754108.969871 1.130704 -16.756805 0.056000 0.018141 -0.042665 0.672300 0.738826
1778754109.022437 1.129246 -16.759834 0.063162 0.010526 -0.041040 0.672570 0.738820
1778754109.075320 1.127611 -16.765350 0.074722 0.010922 -0.044195 0.672304 0.738874
1778754109.129104 1.126344 -16.772346 0.093119 0.016573 -0.048556 0.672258 0.738537
1778754109.184846 1.125033 -16.778896 0.114880 0.019742 -0.049719 0.671950 0.738662
1778754109.238746 1.123856 -16.782381 0.141980 0.017774 -0.046886 0.671759 0.739071
1778754109.297418 1.122845 -16.782726 0.169119 0.013331 -0.042133 0.671742 0.739466
1778754109.349152 1.121975 -16.780869 0.193652 0.008213 -0.036724 0.671706 0.739862
1778754109.402106 1.121092 -16.777449 0.217406 0.003403 -0.032204 0.671764 0.740057
1778754109.458796 1.120188 -16.773350 0.239054 -0.000066 -0.029212 0.671599 0.740339
1778754109.512393 1.119297 -16.768810 0.262316 -0.003224 -0.027113 0.671669 0.740348
1778754109.565979 1.118473 -16.764296 0.282254 -0.005352 -0.025862 0.672035 0.740048
1778754109.619193 1.117819 -16.759392 0.299499 -0.006480 -0.025368 0.672156 0.739947
1778754109.672200 1.117508 -16.754757 0.314457 -0.008040 -0.024289 0.671928 0.740174
1778754109.728933 1.117564 -16.750313 0.320297 -0.009493 -0.023089 0.671470 0.740611
1778754109.782670 1.117853 -16.746950 0.321212 -0.011100 -0.021114 0.671167 0.740923
1778754109.835618 1.118072 -16.745737 0.321798 -0.011702 -0.020256 0.671202 0.740906
1778754109.891202 1.118108 -16.746187 0.322010 -0.011641 -0.020203 0.671171 0.740936
1778754109.942683 1.117870 -16.747528 0.322083 -0.011601 -0.020438 0.671155 0.740944
1778754109.995958 1.117597 -16.749453 0.322086 -0.011369 -0.020881 0.671631 0.740505
1778754110.048903 1.117410 -16.751219 0.322083 -0.010959 -0.021410 0.671829 0.740316
1778754110.105503 1.117345 -16.752132 0.322065 -0.010697 -0.021643 0.671727 0.740406
1778754110.155443 1.117374 -16.752184 0.322074 -0.010604 -0.021658 0.671618 0.740505
1778754110.209286 1.117421 -16.751764 0.322090 -0.010696 -0.021520 0.671518 0.740599
1778754110.262261 1.117455 -16.751268 0.322107 -0.010785 -0.021436 0.671463 0.740649
1778754110.317101 1.117504 -16.750954 0.322121 -0.010849 -0.021351 0.671524 0.740596
1778754110.382232 1.117519 -16.750877 0.322128 -0.010873 -0.021290 0.671464 0.740652
1778754110.425624 1.117502 -16.750963 0.322126 -0.010880 -0.021343 0.671587 0.740538
1778754110.478925 1.117473 -16.751003 0.322124 -0.010882 -0.021378 0.671610 0.740517
1778754110.532014 1.117518 -16.750977 0.322126 -0.010843 -0.021325 0.671499 0.740619
1778754110.587779 1.117518 -16.750912 0.322129 -0.010898 -0.021286 0.671560 0.740564
1778754110.638417 1.117466 -16.750931 0.322128 -0.010937 -0.021350 0.671601 0.740525
1778754110.688898 1.117463 -16.750959 0.322127 -0.010930 -0.021357 0.671609 0.740517
1778754110.742692 1.117489 -16.750937 0.322128 -0.010924 -0.021318 0.671585 0.740540
1778754110.796531 1.117475 -16.750929 0.322130 -0.010931 -0.021323 0.671572 0.740552
1778754110.848572 1.117440 -16.750931 0.322129 -0.010975 -0.021367 0.671641 0.740487
1778754110.901919 1.117447 -16.750940 0.322129 -0.010957 -0.021353 0.671640 0.740489
1778754110.952451 1.117428 -16.750919 0.322129 -0.011004 -0.021367 0.671633 0.740495
1778754111.006975 1.117436 -16.750898 0.322130 -0.011014 -0.021340 0.671613 0.740513
1778754111.059383 1.117418 -16.750885 0.322131 -0.011060 -0.021341 0.671707 0.740427
1778754111.112375 1.117378 -16.750881 0.322130 -0.011101 -0.021382 0.671729 0.740405
1778754111.166346 1.117404 -16.750877 0.322131 -0.011065 -0.021357 0.671679 0.740452
1778754111.223318 1.117436 -16.750839 0.322133 -0.011073 -0.021289 0.671671 0.740461
