# camera_optical trajectory from onboard odometry (NOT ground truth)
1778754109.610309 1.146480 -16.461701 0.305382 -0.696470 0.018043 -0.049785 0.715629
1778754109.744266 1.146888 -16.450842 0.326560 -0.699755 0.018420 -0.050897 0.712329
1778754109.885639 1.147575 -16.447624 0.326282 -0.701773 0.018952 -0.050807 0.710334
1778754110.029221 1.146456 -16.452006 0.327029 -0.701020 0.018153 -0.050478 0.711122
1778754110.165925 1.146476 -16.453564 0.327408 -0.700556 0.018336 -0.050589 0.711566
1778754110.305837 1.146663 -16.452484 0.327248 -0.700793 0.018446 -0.050650 0.711325
1778754110.444686 1.146594 -16.452436 0.327229 -0.700825 0.018350 -0.050586 0.711300
1778754110.583492 1.146654 -16.452378 0.327199 -0.700864 0.018415 -0.050598 0.711259
1778754110.723187 1.146584 -16.452403 0.327203 -0.700860 0.018340 -0.050598 0.711266
1778754110.865660 1.146508 -16.452388 0.327200 -0.700868 0.018258 -0.050589 0.711261
1778754111.008849 1.146521 -16.452353 0.327173 -0.700901 0.018269 -0.050625 0.711225
1778754111.146085 1.146414 -16.452328 0.327158 -0.700922 0.018146 -0.050591 0.711210
1778754111.285771 1.146537 -16.452488 0.326868 -0.700901 0.017713 -0.050727 0.711232
1778754111.427065 1.140349 -16.456736 0.325067 -0.701802 0.007067 -0.049241 0.710634
1778754111.568205 1.133297 -16.457984 0.315010 -0.705517 -0.003522 -0.047340 0.707102
1778754111.709161 1.131063 -16.452573 0.314973 0.706745 0.008017 0.045868 -0.705935
1778754111.844817 1.129802 -16.449504 0.315286 0.707241 0.009274 0.044615 -0.705503
1778754111.986613 1.129142 -16.448052 0.316498 0.707371 0.009877 0.043855 -0.705412
1778754112.123741 1.128715 -16.446817 0.318826 0.707439 0.010253 0.043384 -0.705367
1778754112.265213 1.128587 -16.445264 0.314704 0.707554 0.010408 0.043049 -0.705270
1778754112.406854 1.128330 -16.444203 0.315747 0.707676 0.010665 0.042767 -0.705161
1778754112.547570 1.128054 -16.443629 0.318085 0.707685 0.010928 0.042537 -0.705162
1778754112.683571 1.128015 -16.443066 0.318708 0.707741 0.010990 0.042427 -0.705111
1778754112.824131 1.128115 -16.442855 0.318704 0.707801 0.010928 0.042426 -0.705052
1778754112.963451 1.127977 -16.442768 0.318702 0.707797 0.011050 0.042352 -0.705058
1778754113.107557 1.128022 -16.442679 0.318674 0.707783 0.011027 0.042302 -0.705076
1778754113.246552 1.128047 -16.442619 0.318760 0.707742 0.011014 0.042277 -0.705119
1778754113.385406 1.127896 -16.442480 0.318755 0.707760 0.011150 0.042184 -0.705105
1778754113.523413 1.127904 -16.442320 0.318677 0.707788 0.011152 0.042152 -0.705078
1778754113.669215 1.127813 -16.442172 0.318416 0.707807 0.011262 0.042159 -0.705057
1778754113.805785 1.127709 -16.442033 0.318740 0.707749 0.011361 0.042081 -0.705118
1778754113.943904 1.127684 -16.441861 0.318729 0.707801 0.011394 0.042083 -0.705066
1778754114.084317 1.127582 -16.441818 0.318718 0.707808 0.011500 0.042122 -0.705054
1778754114.223452 1.127559 -16.441828 0.318779 0.707770 0.011520 0.042097 -0.705093
1778754114.363198 1.127536 -16.441812 0.318781 0.707793 0.011549 0.042090 -0.705071
1778754114.525268 1.127436 -16.441776 0.318769 0.707804 0.011646 0.042064 -0.705060
1778754114.647654 1.127510 -16.441746 0.318697 0.707830 0.011582 0.042038 -0.705036
1778754114.784357 1.127327 -16.441728 0.318753 0.707793 0.011715 0.041910 -0.705079
1778754114.926506 1.127021 -16.441874 0.318472 0.707750 0.012091 0.041566 -0.705135
1778754115.069245 1.115654 -16.440598 0.312345 0.706634 0.026094 0.027998 -0.706543
1778754115.205007 1.089666 -16.440448 0.310936 0.708190 0.055714 -0.009094 -0.703761
1778754115.345239 1.042027 -16.447356 0.313209 0.701224 0.116842 -0.060246 -0.700716
1778754115.488717 0.984912 -16.461211 0.313042 0.692673 0.172292 -0.135667 -0.687106
1778754115.624470 0.924880 -16.488422 0.304277 0.682186 0.238870 -0.213153 -0.657366
1778754115.766581 0.861481 -16.541681 0.290721 0.653063 0.318863 -0.297236 -0.619262
1778754115.905868 0.812256 -16.602080 0.293176 0.612526 0.392789 -0.378689 -0.571946
1778754116.046341 0.787095 -16.677921 0.299703 0.555181 0.467496 -0.456093 -0.514977
1778754116.186578 0.782797 -16.790350 0.291916 0.459463 0.563659 -0.529151 -0.437243
1778754116.328512 0.826147 -16.906326 0.287594 0.328769 0.649619 -0.605862 -0.320684
1778754116.465831 0.916040 -16.996600 0.261863 0.196679 0.718298 -0.640441 -0.187616
1778754116.605445 1.033734 -17.051768 0.275773 0.056849 0.728204 -0.681191 -0.049664
1778754116.747694 1.121801 -17.067489 0.304380 -0.046607 0.710787 -0.696476 0.086780
1778754116.890922 1.171551 -17.049559 0.310186 -0.123470 0.699009 -0.686241 0.158792
1778754117.028294 1.202851 -17.032993 0.306776 -0.169851 0.688890 -0.677221 0.194815
1778754117.171349 1.221053 -17.023745 0.306950 -0.199964 0.677707 -0.675648 0.210302
1778754117.326142 1.242216 -17.032643 0.311698 0.213383 -0.668684 0.676735 -0.222169
1778754117.450946 1.288803 -17.065224 0.313034 -0.231743 0.667659 -0.666009 0.238659
1778754117.591887 1.388927 -17.087874 0.317528 -0.285112 0.644053 -0.640112 0.306862
1778754117.727116 1.503999 -17.097546 0.329199 0.343472 -0.595940 0.625269 -0.368675
1778754117.869447 1.594740 -17.109846 0.324690 0.386799 -0.570738 0.615290 -0.382181
1778754118.010993 1.712452 -17.161894 0.319241 0.382186 -0.571360 0.612619 -0.390103
1778754118.148648 1.784519 -17.222868 0.326717 0.363257 -0.589362 0.622271 -0.365342
1778754118.292791 1.846077 -17.313096 0.324002 0.312443 -0.618173 0.648004 -0.316751
1778754118.432306 1.862160 -17.405352 0.326111 0.249168 -0.646854 0.672784 -0.258566
1778754118.568353 1.856468 -17.503756 0.315703 0.168798 -0.679581 0.683234 -0.207045
